sentence,true_label,predicted_label
"We happen to believe there are vast untapped resources out there, because for too long people have looked only to government.",20,7
"Heretofore, while the number of dollars a worker received increased, he didn't really he or she get any increase in purchasing power; they actually went down.",1,5
"For example, it contains increases in the amount of life insurance our service members can buy and strengthens the Veterans Administration's home loan and automobile assistance programs.",16,10
(d) The functions vested in the President by Section 107(f) of the Act are delegated to each of the Federal trustees for natural resources set forth in Section l(d) of this Order for resources under their trusteeship.,21,20
"Innovations in the convoy system, escort training, radio and radar use, long-range aircraft that had been accumulating for months were finally brought to bear.",16,10
"No member shall be entitled, however, to receive the pay provided for in this subsection if, during any month or portion thereof, he is also eligible to receive incentive pay for other hazardous duty under the provisions of Section 301 of Title 37, United States Code.",20,10
"For this to be achieved, the sovereignty of all states, wherever situated, must be respected, human rights must not be sacrificed to state interests, the free movement of ideas must take the place of one-sided propaganda, the free movement of persons must be made possible, efforts must be made to achieve a military relationship characterised by stability and openness, and in general all principles and provisions of the Helsinki Final Act in their entirety must be applied.",19,16
And the best social program is a productive job for anyone who's willing to work.,13,5
"Ultimately, there was entente cordiale a union or alliance-unwritten, that played so great a role in the years of 1914 and 1918 There was a 30-years war in Europe.",19,16
"I think a student body with Brazilians, Americans, and other nationalities studying and playing together is a lesson for all of us.",19,6
"In America, private ownership has been the bedrock of our social system.",1,15
"The Afghans, like the Poles, wish nothing more, as you've just been so eloquently told, than to live their lives in peace, to practice their religion in freedom, and to exercise their right to self-determination.",19,2
"Under the new budget, funding for social insurance programs will be more than double the amount spent only 6 years ago.",13,1
President Reagan assured President Chun that the United States has no plans to withdraw United States ground combat forces from the Korean peninsula.,19,16
"The United States applauds Indonesia's quest for what you call ""national resilience.""",19,16
"He has been immensely successful in his endeavors in the private sector, and he's highly respected for his academic achievements.",6,15
"And I reminded them of Winnie Churchill making a speech at a little college in Missouri some years ago in which he coined the term ""Iron Curtain"".",19,6
"It's increased virtually a hundred billion dollars in the last year, and it is out of control.",20,1
All Aeroflot service to the United States will be suspended.,10,19
Our response to this relentless buildup of Soviet military power has been restrained but firm.,19,16
"Mr President, I'm Jack Brock from eastern North Carolina, and I understand the administration is going to give us a 10-percent interest on Farmers Home Administration money.",14,4
"Also attached is the amendment to the Iranian Assets Control Regulations that appeared in the Federal Register on December 7, 1 81  It required United States banking institutions to register with the Office of Foreign Assets, Department of the Treasury, if they intended to assert claims against the escrow account at the Bank of England that was established with the deposit of $1 4 billion in January 1 81  That account was established pursuant to Paragraph 2(B) of the January 1 , 1 81 Undertakings of the Governments of Iran and the United States, primarily for the purpose of paying non-syndicated debt claims of United States banks against Iran.",18,19
"They're brought here, they're canned, they're put up in whatever packages are appropriate, and they're used to distribute to those people who have real need here in the State of Utah and all over the country, for that matter people from the church.",13,20
Our early harbors fostered industry and trade and helped build many of America's great cities.,10,18
"Of course, the most important item for minority businessmen, as with all small businessmen, is the tax and regulatory reforms we've instituted over the last 20 months.",2,20
"These forests are serving us well and can meet more of our immediate and future needs than they do now, with careful management.",21,7
"And that's why we say: Trust the people, trust their intelligence and trust their faith, because putting people first is the secret of economic success everywhere in the world.",1,16
"The overall percentages of the adjustments in the rates of pay under the other statutory pay systems, the Foreign Service Schedule and the schedules for the Department of Medicine and Surgery of the Veterans' Administration, will also be 4 8 percent increases.",16,20
And those regulations raise the cost of government at all levels and the taxes we pay to support it.,20,1
Is it true that all Federal gasohol funds are being dropped?.,8,20
" By Proclamation No 4807 of December 4, 1980, the quantity of certain peanuts permitted entry into the customs territory of the United States during a quota year was increased 200 million pounds on a temporary and emergency basis.",4,18
"You only have two choices with an embargo: You either lift it, or you broaden it.",19,18
"And it was to Rome, to Italy, and to their history that often turned the thoughts of those Americans who in Philadelphia drafted the Constitution of the United States.",20,19
"It was their faith, in turn, their support and confidence, that got the recovery program through the Congress.",20,1
"While the United States is quite pleased to enter into transactions with the States and localities for the sale of Federal lands, the principle of full and fair compensation to the taxpayers of the United States must be maintained.",21,20
"I transmit also, for the information of the Senate, the report of the Secretary of State with respect to the Protocols.",19,20
"Consistent with public health and safety, we must remove unnecessary obstacles to deployment of the current generation of nuclear power reactors.",8,16
The use of millions of hours of volunteer service is a fine example of what can be accomplished by involving the people with their government.,13,20
"The problems of a welfare client in New York City are far different than those from out in some small town in the rural areas in the Middle West, or something in more rural States.",13,14
"The wholesale and retail trade employs some 21 million Americans, as you well know.",15,18
"If our opponents want to go to the American people next fall and say, ""We're the party that refused to cut spending, we're the party that tried to take away your tax cuts, we're the party that wanted a bargain-basement military and held a fire sale on national security,"" let's give them all the running room they want.",16,1
"Theirs are the potentially large markets which would help developed countries like the United States to maintain higher profitability on their investment, higher rates of growth, and to generate more employment.",19,18
"Well, this administration's objective will be a healthy, vigorous, growing economy that provides equal opportunities for all Americans, with no barriers born of bigotry or discrimination.",1,2
"Likewise, there are some in the developing world who attribute persistent poverty to industrial powers, whom they accuse of exploitation.",19,1
"And in my home State of Illinois, they have a shoe factory that is manned by volunteers from the church.",13,5
"They brought major pressures to bear through now public letters to the Polish leadership, military maneuvers, and other forms of intimidation.",16,19
President Sadat shares our belief that a strong defense and a strong economy go hand in hand.,19,16
"Economic problems or not, isn't it time to take a fresh look at the way we provide social services?",13,1
"A great many of the so-called job projects that have been floated around up on the Hill are nothing more than pork-barrel items under the new name and taking advantage of unemployment in order to try and get pork-barrel projects for various, particular segments of the country.",13,1
"(1) A, description of the potential benefits of the rule, including any beneficial effects that cannot be quantified in monetary terms, and the identification of those likely to receive the benefits;.",20,1
" December 11, 1982, marked the one hundredth anniversary of the birth of Fiorello H. La Guardia, affectionately known as The Little Flower, who served with great distinction for twelve years in the United States House of Representatives and then for ten years as Mayor of New York City.",10,20
"In these cases, our immediate neighbors will receive quotas as liberal as are consistent with our domestic and international obligations under law.",18,19
" I want to thank Carlton Turner, the Vice President and Nancy and these ladies and gentleman who are gathered here in front today, because they're all very much a part of the effort in fighting drug abuse.",3,12
We're going to make several billions of dollars of savings before the year is out in that program.,1,15
"I came up here to Nancy had some things to do here and some things she's interested in, the drug program and so forth.",12,3
"As economist Thomas Sowell has suggested, these tuition tax credits are especially important ""to those who are mentioned the least: the poor and the working class.""",6,1
There is the intervention by government that has moved not only just from attempting to control business and industry but right into the lives of every one of us by way of regulations.,20,15
"And this, together with the National Association of Broadcasters, that you're preparing a giant public service ad campaign to educate Americans on the need to improve productivity nothing could be more welcome.",17,1
I have selected a plan that will divide the current responsibilities of the Department of Energy between the Department of the Interior and the Department of Commerce.,20,8
"Our private sector initiatives force, under William Verity, has uncovered hundreds of community and statewide projects performing services voluntarily that once were thought to be the province of government.",15,20
This is essential to international security.,19,16
But current interpretation of our Constitution holds that the minds of our children cannot be free to pray to God in public schools.,2,6
"But most important, it will create jobs.",1,5
"In this regard, I have determined that international cooperation to intercept vessels trafficking in illegal migrants is a necessary and proper means of insuring the effective enforcement of our laws.",19,9
"It became more difficult for families to get home mortgages, for consumers to carry auto loans, for firms to modernize their machines and keep their product prices competitive.",1,15
"But also, we are looking at, very seriously, the idea of urban renewal well, that's the wrong name for it; I've criticized that too much to use it the enterprise zone, the specialized zones to hit targets of very high unemployment in our cities.",14,15
"It happens to be from one of our young sailors on a carrier out in the Pacific, and just recently, they came upon a sinking boat of Vietnamese refugees, and they brought them on shore.",19,9
"Now, some pundits claim that this was an attempt to appeal to various ethnic or religious voting blocs.",20,2
"After the armistice, the United States gave us generous assistance to rehabilitate our war-devastated economy.",1,16
"Separate travel regulations for civilian employees, foreign service, and uniformed services will be simplified, standardized, and updated to assure consistent treatment of all federal travelers.",20,16
"The number of patents issued to American companies has been declining for the past decade, while Japanese patent activity, here in America, has increased in each of the 53 United States patent fields.",15,18
"By permitting interest to run from the date a claim is submitted, instead of from the date of certification, as current law provides, House Resolution 1371 could result in a large increase in Governmental obligations without any corresponding benefits to the claims resolution process so carefully established in the Contract Disputes Act.",15,20
All the world is arming to the teeth.,16,19
"Now with the price up where it is, there is an incentive for them to look at these because they may be cost-effective.",15,1
"I have directed that a task force composed of representatives from the White House Office of Policy Development, the Office of Management and Budget, and the Departments of Energy, Commerce, and Interior get to work immediately on the detailed legislation and plans needed to carry out the decision I made yesterday.",1,15
"And thus, when Justice Potter Stewart reported his retirement to us earlier this year, we began a search for a highly qualified woman who would serve this Nation well.",20,12
Even the cost of State and local tax relief should be modest because of the weak economic activity currently existing in potential Enterprise Zone areas.,14,1
"I am pleased that in cooperation with private, voluntary organizations, the Federal Government plays a valuable role in support of this research.",13,17
"Waste, fraud, corruption, and abuse are severe problems.",13,20
I have talked to a mayor not too long ago who was telling about a Federal program that had to do with the handicapped and the buses in his city.,2,10
"And of these measures, 34 provided significant relief to State and local governments on a range of regulations ranging from Medicaid to pesticides.",20,3
It's estimated that every business dollar of support that you raise generates an average of $40 in services to communities.,14,15
And I agree with you completely: Government contracts should be paid the same as any other business contracts on time.,20,15
And I just hope that you will continue to support him to unburden broadcasters from the very restrictive governmental policies of the past.,17,20
"For 1983, we've proposed that 28 percent of all Federal spending go to the elderly, an average of $7,854 or $7,850, I should say-per individual, in payments and services.",13,1
"In accordance with the Magnuson Fishery Conservation and Management Act of 1976 (Public Law 94-265; 16 USC 1801), I transmit herewith an exchange of Diplomatic Notes, together with the present agreement, extending the governing international fishery agreement between the United States and Poland, signed at Washington on August 2, 1976, until July 1, 1983  The exchange of notes together with the present agreement constitute a governing international fishery agreement within the requirements of Section 201(c) of the Act.",7,19
We agreed that the system and its ability to respond to threats to the peace must be strengthened and that this required our urgent attention.,16,19
"In your communities, and tomorrow in the Congress, spread the word that you have faith in these programs, that together we can sustain the courage and the patience of our people, and together we can restore the health of our nation.",3,20
The government's very deliberate and pragmatic approach to land resettlement and the rising cost of living are primarily responsible for much of the criticism being directed at it.,21,14
"And the Greater Houston Alliance of Business, through the cooperation of the Houston Task Force, the local Chamber of Commerce, and the Texas Employment Commission, was able to place about 3,000 young people in summer jobs.",5,15
"The provisions of that Executive order became effective March 30, 1980  As a result, all member countries of the Andean Group and of ASEAN, respectively, may be treated as one country with respect to eligible articles for purposes of the Generalized System of Preferences, as provided for in section 503(b) (1) (B) as amended.",18,19
We've acted in concert to demonstrate that the United States is indeed a reliable security partner.,19,16
We said that the auto pact discussions should be pursued and continued.,15,10
"Aid is an important part of this program, because many of our neighbors need it to put themselves in a starting position from which they can begin to earn their own way.",13,19
And I pledge to you today that I will not be satisfied until every American who wants a job can find a job.,1,5
"Although I don't want to go over ground that's already been covered, I'd like to mention that I'm particularly proud that we were able to come to the aid of Meharry Medical College when circumstances threatened its survival.",6,3
"A reduction in the marriage penalty the unfairness of the fact that a working husband and wife were cheated in the amount that they had to pay, it being greater than if they weren't married.",1,2
"This weapon was particularly designed to offset the great superiority that the Soviet Union has on the western front against the NATO nations, a tank advantage of better than four to one, and it is purely, as I say, a defensive weapon.",19,16
Consumer education can help us make decisions that are right for ourselves and right for our economy.,15,1
"All Series EE bonds purchased on and after November 1, 1982, and held at least 5 years, will earn at least 85 percent of the average yield during the holding period on outstanding Treasury marketable securities with approximately 5 years remaining to maturity.",15,1
These values represent the fiscal year 1981 financing of multi-year programs initiated in prior years.,20,1
"Mr President, Korea has in recent years achieved rapid economic development despite countless difficulties.",1,19
"The budget for the Department of Health and Human Services became the third largest budget in the world, right after the entire national budgets of the United States and the Soviet Union.",3,19
"To deal with specific contingencies, the IG's will establish full-time working groups, which 'will provide support to the crisis management operations of the NSC.",16,15
Since 1962 early retirement has been allowed at age 62 with 80 percent of full benefits.,2,5
"We need a farsighted act by our people now, a time of great economic trial for us as well, so we can prevent even greater expenditures of energy, time, and treasure in the future.",1,8
" I have approved S. 1104, an act which amends the International Investment Survey Act of 1974.",19,15
"No, the real purpose of National Family Week, which runs from November 21st to November 27th, 1982, is to recognize the central importance of the family in American life and to honor the most fundamental unit of our society, the unit that gives us a sense of belonging in life.",12,16
"But we warned, under the threat of a strike, that there could not be a strike against the law, that this would be breaking the law, and that there, therefore, could be no negotiations.",5,16
"They were that any changes in defense spending must not interfere with or delay our rebuilding of national security, and that spending must be significantly reduced, and that our tax reductions, adopted last year, must be preserved.",16,1
"Free enterprise, not government, is the source from which our blessings flow, and we in this administration intend to restore it.",15,20
"Have you changed your opinion, then, of what you said in your first press conference, that the Russians, that, really, their article of faith is the reserving unto themselves the right to commit any crime, to lie, to cheat in order to obtain that and that is moral and not immoral.",19,12
2  The Heads of State and Government view with particular concern the recent hijacking incidents which threaten the safety of international civil aviation.,19,10
And in that 1 year we passed 41 pieces of anticrime legislation.,12,20
"I will, of course, resist any budget-busting spending measures that may come to my desk.",20,1
"Mr President, there is another summit looming, the NATO summit at Bonn.",16,19
"She was black, but she said, ""Thank you for doing away with the war on poverty.""",2,13
"In that spirit, I am today extending to the air traffic controllers discharged because of their actions in striking against the Federal Government, an opportunity to reapply for Federal employment, in departments and agencies other than the Federal Aviation Administration.",20,10
"Today, I am asking that each head of an agency or a Department review existing safety and health programs and, with the help and advice of the Department of Labor's Occupational Safety and Health Administration, take every step possible to reduce the number of occupational injuries and illnesses occurring in the Federal sector.",5,3
"In 1969 alone, United States Army volunteers helped construct 1,253 schools and 597 hospitals and dispensaries, contributing $300,000 from their own pockets.",16,3
We refused to enter into negotiations for the renewal of a long-term grain compact with the Soviet Union because of the Poland situation.,4,19
"Well, with this law, we make sure the vote stays in the hands of every American.",2,20
They work to earn more after-tax income.,15,1
"And you've raised over $600,000 in not in, but for campaign training schools, literature, and for direct assistance to candidates.",20,6
"Now, you wisely learned to harness the Federal Government in the hard pull toward equality, and that was right, because guaranteeing equality of treatment is government's proper function.",20,2
"The bill is somewhat above my September request, but it's a big change from the business-as-usual appropriations of the past.",1,20
Mexico and Venezuela are operating an oil facility for the Caribbean Basin.,19,8
"And we met for 7 months, virtually daily and many times twice daily, with both factions, because being in the spot we were in, it was decided that we would invite both factions and management to sit at a table with us, and we, as the noninvolved, would ensure fairness in the discussion, but to try and find a method that would keep the business open and not throw 30,000 people out of jobs.",5,1
"(b) Section 4 of Executive Order No11961, as amended, is further amended by deleting ""the Secretary of Commerce shall perform the functions set forth in Sections 4(a)(3) and 5(c) of the Act"", and substituting therefor ""the Secretary of Commerce shall perform the function of making periodic reports to the Committees of the Congress as set forth in Section 4(a)(3) of the Act"".",1,20
"For example, the Speaker of the House boasts that the leadership bill gives a higher cut to working Americans.",1,20
"Similarly, there are concerns about the continued use of a portion of the island not proposed for wilderness designation as a site for the disposal of dredged material by the Army Corps of Engineers.",21,16
"And let's remember that we're working as partners, the public and private sector together.",20,15
"They were aimed at the abuses in the program, people that are collecting disability benefits and are not disabled.",13,2
"We must build a cathedral of peace, where nations are safe from war and where people need not fear for their liberties.",16,19
What do you say to the single working mother whose eligibility for Medicaid and for food stamps has been cut?,13,3
"Increasing numbers of mothers have added outside paid employment to their traditional roles, and, similarly, fathers in increasing numbers are sharing home responsibilities with them.",12,2
"The idea is to unleash the American worker, encourage the American investor, and let each of us produce more to make a better life for all.",15,5
Our policies for this industry are based on .the essential right to private property.,1,15
"So, I wasn't surprised when I read in several reputable journals that I was going to deliver an address on foreign policy or on the economy.",1,19
"It's going to be a little different than some in the past, because the Federal Government is going to work with local officials and community business and industry leaders all across the country to train the people in those communities for the jobs that are open in those communities.",5,15
"Well, I would if they realized that we if we went back to that stalemate, only because our retaliatory power, our seconds, or our strike at them after their first strike would be so destructive that they couldn't afford it, that would hold them off.",16,5
"Subject to the reservations mentioned above, I believe the United States should be a party to the Regulations from the outset, and it is my hope that the Senate will take early action on this matter and give its advice and consent to ratification.",19,20
"There aren't too many of those, and that's not really who we're trying to help, because we have a ceiling on income as to who would be eligible for this tuition tax credit.",6,1
"I commend her to you, and I urge the Senate's swift bipartisan confirmation so that as soon as possible she may take her seat on the Court and her place in history.",12,20
"As the reports states, the need for any special Federal assistance must be evaluated on a case-by-case basis.",20,12
"This is particularly important in our Eastern States, where few areas remain that are ""affected primarily by the forces of nature"".",15,16
These private plots occupy a bare 3 percent of the arable land but account for nearly one-quarter of Soviet farm output and nearly one-third of meat products and vegetables.,19,4
Activities that are internal to the execution and administration of the approved programs of a single department or agency and which are not of such nature as to affect significantly the overall United States overseas program in a country or region are not considered to be activities covered within the meaning of this directive.,20,19
My pay advisers have made those calculations and indicated that an average 15 1 percent increase would be required to achieve comparability as the concept and process were defined in the Pay Comparability Act of 1970.,5,20
"We've cut waste, eliminated red tape, and provided better services to the American taxpayers, which is why we're all here.",20,1
"Yet our voice is heard, because in spite of our poverty and economic backwardness and often looking beyond our immediate interests, we have fearlessly spoken up for the rights of the underprivileged and the threatened and have championed the cause of peace and freedom.",2,1
"And now, ladies and gentlemen, I call on, to speak for this wonderful group of returnees, Bruce Laingen, Deputy Chief of Mission  in Tehran.",16,19
This commerce contributed over $35 billion to the gross national product and generated an additional $1 5 billion in services sold to users.,15,1
But they will switch to American planes in Algiers.,16,19
"Now, if the people will add up who's been in charge, who was running the store and this is the eighth time we've had one of these economic crises since World War II, and for most of that time, almost entirely, the Congress until now had been dominated by one party.",20,1
"And this plan would not be one that would have a great cost, because, first of all, the local community isn't getting property taxes from those run-down areas.",14,1
"We can have no rest until our neighbors, our fellow citizens who want to work, are able once again to find jobs.",1,5
"The deferrals affect programs in the Departments of Energy, Health and Human Services, the Interior, and the Treasury.",1,3
"Accordingly, I am directing the Secretary of State, the Secretary of Defense, the Director of the Office of Personnel Management, and the Administrator of General Services to implement the necessary changes to the regulations they promulgate.",1,16
"Historically, small firms have enjoyed a special relationship with their communities.",14,15
"Uncle Sam's tax haul doubled just between 1976 and 1981  By the time the Federal Government had soaked up its share, there was little left for consumers or for State and local governments and for business to invest and create new jobs.",2,1
"Together we succeeded in creating a spirit of new hope, which we want to translate into progress to revitalize the world economy and accelerate the growth of developing countries.",18,19
"He founded the company in 1948  Mr Stake was a member of the Minnesota Telephone Association in 1973-77  He was born August 28, 1920.",17,15
"Your Majesty, I learned much from our discussions.",19,20
"By lifting the heavy hand of government, we're placing our faith in the working men and women of Britain and the United States.",20,19
"I'm sure there'll be some who raise the old familiar cry, ""Don't touch my program; cut somewhere else.""",20,1
"There are four prisons located in that city, and when families of the prisoners came to visit, many had to sleep in the park or under bridges.",12,9
"At the same time, we will keep in place those regulations that are beneficial to society-such as health and safety in the work place, and a healthy environment.",5,3
"These measures are going to spark jobs, an estimated 3 million more jobs by 1986, in addition to the 10 million that are already expected by way of natural growth.",5,1
"Historically, small business has provided much of the growth in jobs and innovation as well as being the supplier of services and deliverer of goods to virtually every farm, village, town and city in our nation.",15,4
We will work with you to help the international system evolve so as to bring a brighter economic day to all our people.,19,1
Consumer education can help us make decisions that are right for ourselves and right for our economy.,15,1
The Presidential Commission I appointed last April is reinforcing these efforts and encouraging greater preventive and corrective programs.,12,20
The President and the Chancellor called upon Warsaw Pact participants to react positively.,16,19
"And  because there were men and there are men today in this land of ours who are willing to do that thing that only they are in a position to do that we're able to meet as we meet tonight, we're able to have a day in which we continue 200 years of an orderly exchange of leadership and reigns of authority in our Government without military overthrow or force or violence, that we're able to still breathe free.",20,16
"In accordance with subsection 402(d)(5) of the Trade Act of 1974, I transmit herewith my recommendation for a further 12-month extension of the authority to waive subsection (a) and (b) of Section 402 of the Act.",19,18
America has been greatly blessed with the resources of our forests.,21,7
"There are a number of subsidies to business and industry that I believe are unnecessary, not because the activities being subsidized aren't of value, but because the marketplace contains incentives enough to warrant continuing these activities without a government subsidy.",1,20
And we must be fully prepared in order to protect our interests and defend the cause of peace.,19,16
"With your continued help, through the magnificent reach of your determination, by the mighty force of your personal prayers, I know that this great, new season of hope will bring that day of renewal and national regeneration and will bring a better world for our children.",2,13
I can recall a visit that you made to Des Moines a number of years ago on behalf of General Electric.,8,19
"He went back to his own ship, and in the meantime, three more Austrian warships sailed into the harbor.",19,16
"(c) The provisions of 5 USC 7116(a)(7) and 7117(b) are suspended with regard to any regulation governing the implementation by the United States Forces of any treaty or agreement, including any minutes or understandings thereto, between the United States and the Government of the host nations; and.",16,19
America's fire losses are a great waste of our precious resources and must be minimized.,12,20
"The new deferrals and revisions to existing deferrals involve programs in the Departments of Agriculture, Commerce, Energy, Health and Human Services, and Transportation, as well as the Board for International Broadcasting and the International Communication Agency.",1,4
Korea is now the 16th largest trading country in the world and ranks 11th among the trading partners of the United States.,19,18
Our forces will remain here as long as necessary to preserve the peace and protect the freedom of the people of Berlin.,16,19
It's even rumored that Presidents sometimes disagree with particular Supreme Court decisions.,12,20
"Well, when they made it public and who it was, yesterday when I came to the office, Dick Schweiker over at HHS was happy to tell me that that regulation no longer applies to her and she's going home.",3,20
"And you suddenly find and say, ""Well, why are we, at taxpayers' expense, providing milk for this particular segment, who are perfectly able to provide it for themselves and other people of no better circumstances are providing it for themselves.""",1,4
I know he wants to improve the quality of life for all Guatemalans and to promote social justice.,19,13
"Second, my administration has initiated a policy of seeking fair-market value when we dispose of surplus Federal property.",21,1
There may come a day when our national security is threatened and the issue of an embargo is raised again.,18,16
The United States has been engaged in nuclear cooperation with the European Community for many years.,8,19
"Even heightened community awareness, even new safety packaging, even new laws on the books are less important than strict parental supervision when avoiding a tragedy from the misuse or abuse of common pharmaceutical and household products.",3,2
"In the framework of trying to find a fundamental solution and to achieve an overall improvement of the inequalities in the world, the one and only answer is that all nations, big or small, strong or weak, strive together, motivated by the firm determination to build a new world order which guarantees political justice, economic justice, and social justice.",1,19
And that was evidenced in the last great invasion of people that were not just political refugees but people that .just wanted to live in the United States.,9,19
Projecting solid internal strengths is essential to the West's ability to maintain peace and security in the world.,19,16
We have moved up by 6 months the scheduled negotiations with Japan on citrus and beef.,18,19
"Our reforms can stimulate new savings, new investments, new jobs, and a new America.",1,15
For many cities such repairs have become critical to growth and renewal.,14,1
"I figure that, yes, it's a compromise, but we're getting $3 reduction in outlays for $1 in the increased revenues.",20,1
"It's based on sound principles of a free marketplace, providing incentive for the entrepreneur, for the working person, for all the way up, yes, to the corporations, so that they can provide the jobs our people must have, and to remove the excessive interference by government in our personal and private lives.",15,20
"While we didn't agree on everything, our allies understand our commitment, our sense of purpose, our strength of character.",19,16
"I'm talking about the kind of courage and questioning your chairman, Margaret Bush Wilson, showed in taking the heat for the NAACP's controversial 1978 energy statement a statement which shook the elitists of our country back into the real world, at least for a time.",2,8
"While hundreds of thousands of government employees are working honestly and competently to serve their nation, there is also a very small minority of dishonest and some frankly incompetent individuals who are costing the taxpayers perhaps billions of dollars in fraud and waste.",13,20
And the relentless drive to eliminate God from our schools can and should be stopped.,2,6
"Under the leadership of Paul Lyet and Anna Chennault, we plan to tap this resource by asking you to help direct your country's policies in this vital area.",19,20
"But now to get back to the business at hand and then I must leave here once again, and I mean this seriously, I've known this man, worked with him as a legislator and all those things and the welfare reform and everything that we did in California-know him and you know him and his record as an attorney general.",20,13
This amendment offers us our best chance of getting control of runaway spending.,1,20
But we will not promote a housing recovery by going even deeper in debt.,15,14
"The campaign against fraud, waste, and mismanagement is showing results.",13,20
" By the authority vested in me as President by the Constitution and laws of the United States of America, and in order to ensure efficient and coordinated planning and review of water resources programs and projects, it is hereby ordered as follows:.",21,7
"That's important, because the stock market has traditionally been a leading indicator of what's coming down the road.",1,15
"Their leader, Homer Fahrner, told the Christian Science Monitor that with a little support from business, a day's work from those on welfare and the unemployed, we could lick the hunger problem in this country and maybe in the entire world.",13,1
"It had estimated losses of more than $160 million, just due to waste and fraud.",13,20
We must be resolved that this cruel episode in our history shall not be forgotten-that we will ensure our professional diplomats and military personnel every means of protection that America can offer.. We also owe thanks to the families of those held captive and of their fellows in the Foreign Service who worked and prayed so hard for their return.,19,16
"The Secretary may reinstate the allocation provisions of paragraph (c), or may amend any quantitative limitations (including the time period for which such limitations are applicable) which have previously been established under this paragraph or paragraph (b), if the Secretary determines that the considerations set forth in the previous sentence so warrant.",20,12
It will focus attention on worldwide Atlantic salmon conservation and management programs and augment current domestic and international efforts to restore these valuable resources.,7,21
"Layoffs in the auto plants began, and the sickness spread to associate industries such as steel, rubber, glass, et cetera.",15,10
Soon there were volunteers from all branches of the military spending their weekends building houses at a hospital.,13,16
"Mexico at present faces extreme balance of payments problems of a magnitude and character which, if not addressed through the measures outlined above, could lead to substantial disruption of international money, financial, and exchange markets.",18,19
"When we were watching the parade-well, at first, at lunch I learned that both planes had taken off and were in the air.",16,10
"(a) Executive Order No12059 of May 11, 1978, as amended, establishing the United States Circuit Judge Nominating Commission;.",20,12
"International collaboration among industrial firms in areas such as transportation, industrial utilization of space, communications, and energy production can serve important national interests as well as the interests of the firms involved.",19,17
I know that Congressman Hyde and I have shared a relationship in our interest in social causes that are of interest very much to the Catholic community.,13,6
"Protecting the integrity of our electoral system and the voting franchise, I think, is of concern to all Americans.",2,20
"The Attorney General hereby is delegated the power to approve the use for intelligence purposes, within the United States or against a United States person abroad, of any technique for which a warrant would be required if undertaken for law enforcement purposes, provided that such techniques shall not be undertaken unless the Attorney General has determined in each case that there is probable cause to believe that the technique is directed against a foreign power or an agent of a foreign power.",16,12
"We have found, for example, that many of these loans and much of this help was going to people whose family income was higher than it should have been.",13,15
"Well, these POW's are only minutes away from landing in Wiesbaden, Germany.",16,19
"But Cuba, sir, is helping according to the United States State Department Cuba is helping the drug traffic [inaudible].",12,9
The Task Force shall be composed of members from public and private life who shall be appointed by the President.,15,20
Concern about the dollar was evidenced by a prolonged period of decline in its value on foreign exchange markets.,18,19
Have you had any word from President Qadhafi?.,19,20
I'm speaking to you from the White House over a special hookup with radio stations across the farm belt.,17,4
"In 1980, more than 2,800 persons emigrated from Romania to the United States.",9,19
Deterrence has worked in Europe for more than 35 years.,5,16
These include measures to enhance mutual confidence and to improve communication both in time of peace and in a crisis.,17,19
"All such cooperation should be coordinated through the Representative of the United States serving on the Governing Board of the Tahoe Regional Planning Agency, Zane G. Smith, Jr., Regional Forester of the Pacific Southwest Region of the United States Forest Service.",7,21
"A few years ago, one of that same spendthrift fraternity, trying to explain the increase in government spending, said in all seriousness, ""Well, you know, a billion here and a billion there; it adds up.""",1,20
The investment challenge is America's challenge for the eighties.,20,15
"The amendment to regulation 49(4)(b) of the Convention, which was proposed by the Government of Australia, would redefine the seasonal tropical area in the South Indian Ocean to include waters in the new offshore oil development area off the northwest coast of Australia.",19,8
"We've had extensive hearings in the Senate to determine, ""when does life begin?""",2,20
"(e) The Agency for International Development shall provide the Task Force with such administrative services, funds, facilities, staff and other support services as may be necessary.",19,20
"And this, together with the National Association of Broadcasters, that you're preparing a giant public service ad campaign to educate Americans on the need to improve productivity nothing could be more welcome.",17,1
"Who would voluntarily choose not to have the right to vote, decide to purchase government propaganda handouts instead of independent newspapers, prefer government to worker-controlled unions, opt for land to be owned by the state instead of those who till it, want government repression of religious liberty, a single political party instead of a free choice, a rigid cultural orthodoxy instead of democratic tolerance and diversity?.",2,13
"She was up against well, we've now seen the Labor Party split in its own convention, and the left wing takeover she was up against that powerful left wing element that was sabotaging.",19,5
"As many of you know, our administration has also strongly backed an amendment that will permit school children to hold prayer in our schools.",2,6
"But while maintaining government's commitment to the poor, we want to see if it isn't possible to motivate our people as individuals, as members of churches and clubs, as representatives of corporations, as members of unions, and as concerned citizens, to do what they can to make this a better country.",13,5
"My administration has committed more than $900 million per year to this effort, the majority of those funds being spent on reducing drug abuse within the United States.",3,12
"Thus, we regard any military threat to Europe as a threat to the United States itself.",19,16
"The American maritime industry connects the inland and coastal ports of the United States with port cities around the globe and transports United States agricultural, mining, and industrial products to foreign shores.",15,4
This makes a vital and indispensable contribution toward not only peace in Korea but peace and tranquility of the Northeast Asia region..,16,19
This is also the policy of our governments and gives us an additional feeling of security.,12,16
"There is no more important domestic issue on which we have to have a national consensus than social security, because it affects just about all of us either as current beneficiaries or current taxpayers.",13,1
"Mexico and Venezuela, in addition to the $700 million a year oil facility, are increasing other programs including trade preferences.",18,8
